,destination_well,label
0,A1,1
1,A2,1
2,A3,1
3,A4,1
4,A5,1
5,A6,1
6,A7,1
7,A8,1
8,A9,1
9,A10,1
10,A11,1
11,A12,1
12,A13,1
13,A14,1
14,A15,1
15,A16,1
16,A17,1
17,A18,1
18,A19,1
19,A20,1
20,A21,1
21,A22,1
22,A23,1
23,A24,1
24,B1,1
25,B2,1
26,B3,1
27,B4,1
28,B5,1
29,B6,1
30,B7,1
31,B8,1
32,B9,1
33,B10,1
34,B11,1
35,B12,1
36,B13,1
37,B14,1
38,B15,1
39,B16,1
40,B17,1
41,B18,1
42,B19,1
43,B20,1
44,B21,1
45,B22,1
46,B23,1
47,B24,1
48,C1,1
49,C2,1
50,C3,1
51,C4,1
52,C5,1
53,C6,1
54,C7,1
55,C8,1
56,C9,1
57,C10,1
58,C11,1
59,C12,1
60,C13,1
61,C14,1
62,C15,1
63,C16,1
64,C17,1
65,C18,1
66,C19,1
67,C20,1
68,C21,1
69,C22,1
70,C23,1
71,C24,1
72,D1,1
73,D2,1
74,D3,1
75,D4,1
76,D5,1
77,D6,1
78,D7,1
79,D8,1
80,D9,1
81,D10,1
82,D11,1
83,D12,1
84,D13,1
85,D14,1
86,D15,1
87,D16,1
88,D17,1
89,D18,1
90,D19,1
91,D20,1
92,D21,1
93,D22,1
94,D23,1
95,D24,1
96,E1,1
97,E2,1
98,E3,1
99,E4,1
100,E5,1
101,E6,1
102,E7,1
103,E8,1
104,E9,1
105,E10,1
106,E11,1
107,E12,1
108,E13,1
109,E14,1
110,E15,1
111,E16,1
112,E17,1
113,E18,1
114,E19,1
115,E20,1
116,E21,1
117,E22,1
118,E23,1
119,E24,1
120,F1,1
121,F2,1
122,F3,1
123,F4,1
124,F5,1
125,F6,1
126,F7,1
127,F8,1
128,F9,1
129,F10,1
130,F11,1
131,F12,1
132,F13,1
133,F14,1
134,F15,1
135,F16,1
136,F17,1
137,F18,1
138,F19,1
139,F20,1
140,F21,1
141,F22,1
142,F23,1
143,F24,1
144,G1,1
145,G2,1
146,G3,1
147,G4,1
148,G5,1
149,G6,1
150,G7,1
151,G8,1
152,G9,1
153,G10,1
154,G11,1
155,G12,1
156,G13,1
157,G14,1
158,G15,1
159,G16,1
160,G17,1
161,G18,1
162,G19,1
163,G20,1
164,G21,1
165,G22,1
166,G23,1
167,G24,1
168,H1,1
169,H2,1
170,H3,1
171,H4,1
172,H5,1
173,H6,1
174,H7,1
175,H8,1
176,H9,1
177,H10,1
178,H11,1
179,H12,1
180,H13,1
181,H14,1
182,H15,1
183,H16,1
184,H17,1
185,H18,1
186,H19,1
187,H20,1
188,H21,1
189,H22,1
190,H23,1
191,H24,1
192,I1,1
193,I2,1
194,I3,1
195,I4,1
196,I5,1
197,I6,1
198,I7,1
199,I8,1
200,I9,1
201,I10,1
202,I11,1
203,I12,1
204,I13,1
205,I14,1
206,I15,1
207,I16,1
208,I17,1
209,I18,1
210,I19,1
211,I20,1
212,I21,1
213,I22,1
214,I23,1
215,I24,1
216,J1,1
217,J2,1
218,J3,1
219,J4,1
220,J5,1
221,J6,1
222,J7,1
223,J8,1
224,J9,1
225,J10,1
226,J11,1
227,J12,1
228,J13,1
229,J14,1
230,J15,1
231,J16,1
232,J17,1
233,J18,1
234,J19,1
235,J20,1
236,J21,1
237,J22,1
238,J23,1
239,J24,1
240,K1,1
241,K2,1
242,K3,1
243,K4,1
244,K5,1
245,K6,1
246,K7,1
247,K8,1
248,K9,1
249,K10,1
250,K11,1
251,K12,1
252,K13,1
253,K14,1
254,K15,1
255,K16,1
256,K17,1
257,K18,1
258,K19,1
259,K20,1
260,K21,1
261,K22,1
262,K23,1
263,K24,1
264,L1,1
265,L2,1
266,L3,1
267,L4,1
268,L5,1
269,L6,1
270,L7,1
271,L8,1
272,L9,1
273,L10,1
274,L11,1
275,L12,1
276,L13,1
277,L14,1
278,L15,1
279,L16,1
280,L17,1
281,L18,1
282,L19,1
283,L20,1
284,L21,1
285,L22,1
286,L23,1
287,L24,1
288,M1,1
289,M2,1
290,M3,1
291,M4,1
292,M5,1
293,M6,1
294,M7,1
295,M8,1
296,M9,1
297,M10,1
298,M11,1
299,M12,1
300,M13,1
301,M14,1
302,M15,1
303,M16,1
304,M17,1
305,M18,1
306,M19,1
307,M20,1
308,M21,1
309,M22,1
310,M23,1
311,M24,1
312,N1,1
313,N2,1
314,N3,1
315,N4,1
316,N5,1
317,N6,1
318,N7,1
319,N8,1
320,N9,1
321,N10,1
322,N11,1
323,N12,1
324,N13,1
325,N14,1
326,N15,1
327,N16,1
328,N17,1
329,N18,1
330,N19,1
331,N20,1
332,N21,1
333,N22,1
334,N23,1
335,N24,1
336,O1,1
337,O2,1
338,O3,1
339,O4,1
340,O5,1
341,O6,1
342,O7,1
343,O8,1
344,O9,1
345,O10,1
346,O11,1
347,O12,1
348,O13,1
349,O14,1
350,O15,1
351,O16,1
352,O17,1
353,O18,1
354,O19,1
355,O20,1
356,O21,1
357,O22,1
358,O23,1
359,O24,1
360,P1,1
361,P2,1
362,P3,1
363,P4,1
364,P5,1
365,P6,1
366,P7,1
367,P8,1
368,P9,1
369,P10,1
370,P11,1
371,P12,1
372,P13,1
373,P14,1
374,P15,1
375,P16,1
376,P17,1
377,P18,1
378,P19,1
379,P20,0
380,P21,1
381,P22,0
382,P23,1
383,P24,0
