,destination_well,label
0,A1,1
1,A2,1
2,A3,1
3,A4,1
4,A5,1
5,A6,1
6,A7,1
7,A8,1
8,A9,1
9,A10,1
10,A11,1
11,A12,1
12,A13,1
13,A14,1
14,A15,1
15,A16,1
16,A17,1
17,A18,1
18,A19,1
19,A20,1
20,A21,1
21,A22,1
22,A23,1
23,A24,1
24,B1,1
25,B2,0
26,B3,1
27,B4,0
28,B5,1
29,B6,0
30,B7,1
31,B8,0
32,B9,1
33,B10,0
34,B11,1
35,B12,0
36,B13,1
37,B14,0
38,B15,1
39,B16,0
40,B17,1
41,B18,0
42,B19,1
43,B20,0
44,B21,1
45,B22,0
46,B23,1
47,B24,0
48,C1,1
49,C2,1
50,C3,1
51,C4,1
52,C5,1
53,C6,1
54,C7,1
55,C8,1
56,C9,1
57,C10,1
58,C11,1
59,C12,1
60,C13,1
61,C14,1
62,C15,1
63,C16,1
64,C17,1
65,C18,0
66,C19,1
67,C20,0
68,C21,1
69,C22,0
70,C23,1
71,C24,0
72,D1,1
73,D2,0
74,D3,1
75,D4,0
76,D5,1
77,D6,0
78,D7,1
79,D8,0
80,D9,1
81,D10,0
82,D11,1
83,D12,0
84,D13,1
85,D14,0
86,D15,1
87,D16,0
88,D17,1
89,D18,0
90,D19,1
91,D20,0
92,D21,1
93,D22,0
94,D23,1
95,D24,0
96,E1,1
97,E2,0
98,E3,1
99,E4,0
100,E5,1
101,E6,0
102,E7,1
103,E8,0
104,E9,1
105,E10,0
106,E11,1
107,E12,0
108,E13,1
109,E14,0
110,E15,1
111,E16,0
112,E17,1
113,E18,0
114,E19,0
115,E20,0
116,E21,0
117,E22,0
118,E23,0
119,E24,0
120,F1,1
121,F2,0
122,F3,1
123,F4,0
124,F5,1
125,F6,0
126,F7,1
127,F8,0
128,F9,1
129,F10,0
130,F11,1
131,F12,0
132,F13,1
133,F14,0
134,F15,1
135,F16,0
136,F17,1
137,F18,0
138,F19,1
139,F20,0
140,F21,1
141,F22,0
142,F23,1
143,F24,0
144,G1,0
145,G2,0
146,G3,0
147,G4,0
148,G5,0
149,G6,0
150,G7,0
151,G8,0
152,G9,0
153,G10,0
154,G11,0
155,G12,0
156,G13,0
157,G14,0
158,G15,0
159,G16,0
160,G17,0
161,G18,0
162,G19,0
163,G20,0
164,G21,0
165,G22,0
166,G23,0
167,G24,0
168,H1,1
169,H2,0
170,H3,1
171,H4,0
172,H5,1
173,H6,0
174,H7,1
175,H8,0
176,H9,1
177,H10,0
178,H11,1
179,H12,0
180,H13,1
181,H14,0
182,H15,1
183,H16,0
184,H17,1
185,H18,0
186,H19,1
187,H20,0
188,H21,1
189,H22,0
190,H23,1
191,H24,0
192,I1,0
193,I2,0
194,I3,0
195,I4,0
196,I5,0
197,I6,0
198,I7,0
199,I8,0
200,I9,0
201,I10,0
202,I11,0
203,I12,0
204,I13,0
205,I14,0
206,I15,0
207,I16,0
208,I17,0
209,I18,0
210,I19,0
211,I20,0
212,I21,0
213,I22,0
214,I23,0
215,I24,0
216,J1,1
217,J2,0
218,J3,1
219,J4,0
220,J5,1
221,J6,0
222,J7,1
223,J8,0
224,J9,1
225,J10,0
226,J11,1
227,J12,0
228,J13,0
229,J14,0
230,J15,0
231,J16,0
232,J17,0
233,J18,0
234,J19,0
235,J20,0
236,J21,0
237,J22,0
238,J23,0
239,J24,0
240,K1,0
241,K2,0
242,K3,0
243,K4,0
244,K5,0
245,K6,0
246,K7,0
247,K8,0
248,K9,0
249,K10,0
250,K11,0
251,K12,0
252,K13,0
253,K14,0
254,K15,0
255,K16,0
256,K17,0
257,K18,0
258,K19,0
259,K20,0
260,K21,0
261,K22,0
262,K23,0
263,K24,0
264,L1,0
265,L2,0
266,L3,0
267,L4,0
268,L5,0
269,L6,0
270,L7,0
271,L8,0
272,L9,0
273,L10,0
274,L11,0
275,L12,0
276,L13,0
277,L14,0
278,L15,0
279,L16,0
280,L17,0
281,L18,0
282,L19,0
283,L20,0
284,L21,0
285,L22,0
286,L23,0
287,L24,0
288,M1,0
289,M2,0
290,M3,0
291,M4,0
292,M5,0
293,M6,0
294,M7,0
295,M8,0
296,M9,0
297,M10,0
298,M11,0
299,M12,0
300,M13,0
301,M14,0
302,M15,0
303,M16,0
304,M17,0
305,M18,0
306,M19,0
307,M20,0
308,M21,0
309,M22,0
310,M23,0
311,M24,0
312,N1,0
313,N2,0
314,N3,0
315,N4,0
316,N5,0
317,N6,0
318,N7,0
319,N8,0
320,N9,0
321,N10,0
322,N11,0
323,N12,0
324,N13,0
325,N14,0
326,N15,0
327,N16,0
328,N17,0
329,N18,0
330,N19,0
331,N20,0
332,N21,0
333,N22,0
334,N23,0
335,N24,0
336,O1,0
337,O2,0
338,O3,0
339,O4,0
340,O5,0
341,O6,0
342,O7,0
343,O8,0
344,O9,0
345,O10,0
346,O11,0
347,O12,0
348,O13,0
349,O14,0
350,O15,0
351,O16,0
352,O17,0
353,O18,0
354,O19,0
355,O20,0
356,O21,0
357,O22,0
358,O23,0
359,O24,0
360,P1,0
361,P2,0
362,P3,0
363,P4,0
364,P5,0
365,P6,0
366,P7,0
367,P8,0
368,P9,0
369,P10,0
370,P11,0
371,P12,0
372,P13,0
373,P14,0
374,P15,0
375,P16,0
376,P17,0
377,P18,0
378,P19,0
379,P20,0
380,P21,0
381,P22,0
382,P23,0
383,P24,0
