,COLUMN_ID,ROW_ID,LABEL
0,1,1,1.0
1,1,2,1.0
2,1,3,1.0
3,1,4,1.0
4,1,5,1.0
5,1,6,0.0
6,1,7,0.0
7,1,8,0.0
8,1,9,0.0
9,1,10,0.0
10,1,11,0.0
11,1,12,0.0
12,1,13,0.0
13,1,14,0.0
14,1,15,0.0
15,1,16,0.0
16,2,1,
17,2,2,
18,2,3,
19,2,4,
20,2,5,
21,2,6,
22,2,7,1.0
23,2,8,
24,2,9,1.0
25,2,10,
26,2,11,
27,2,12,
28,2,13,
29,2,14,1.0
30,2,15,
31,2,16,1.0
32,3,1,1.0
33,3,2,1.0
34,3,3,
35,3,4,
36,3,5,
37,3,6,0.0
38,3,7,0.0
39,3,8,0.0
40,3,9,0.0
41,3,10,0.0
42,3,11,0.0
43,3,12,0.0
44,3,13,0.0
45,3,14,0.0
46,3,15,0.0
47,3,16,0.0
48,4,1,1.0
49,4,2,
50,4,3,
51,4,4,
52,4,5,
53,4,6,
54,4,7,1.0
55,4,8,
56,4,9,
57,4,10,
58,4,11,1.0
59,4,12,
60,4,13,
61,4,14,1.0
62,4,15,
63,4,16,
64,5,1,1.0
65,5,2,1.0
66,5,3,1.0
67,5,4,
68,5,5,1.0
69,5,6,0.0
70,5,7,0.0
71,5,8,0.0
72,5,9,0.0
73,5,10,0.0
74,5,11,0.0
75,5,12,0.0
76,5,13,0.0
77,5,14,0.0
78,5,15,0.0
79,5,16,0.0
80,6,1,
81,6,2,
82,6,3,
83,6,4,
84,6,5,1.0
85,6,6,
86,6,7,1.0
87,6,8,
88,6,9,
89,6,10,
90,6,11,
91,6,12,1.0
92,6,13,
93,6,14,1.0
94,6,15,1.0
95,6,16,
96,7,1,1.0
97,7,2,
98,7,3,1.0
99,7,4,
100,7,5,1.0
101,7,6,0.0
102,7,7,0.0
103,7,8,0.0
104,7,9,0.0
105,7,10,0.0
106,7,11,0.0
107,7,12,0.0
108,7,13,0.0
109,7,14,0.0
110,7,15,0.0
111,7,16,0.0
112,8,1,
113,8,2,
114,8,3,
115,8,4,
116,8,5,1.0
117,8,6,
118,8,7,
119,8,8,
120,8,9,
121,8,10,
122,8,11,
123,8,12,1.0
124,8,13,
125,8,14,
126,8,15,1.0
127,8,16,
128,9,1,1.0
129,9,2,
130,9,3,
131,9,4,
132,9,5,1.0
133,9,6,0.0
134,9,7,0.0
135,9,8,0.0
136,9,9,0.0
137,9,10,0.0
138,9,11,0.0
139,9,12,0.0
140,9,13,0.0
141,9,14,0.0
142,9,15,0.0
143,9,16,0.0
144,10,1,
145,10,2,
146,10,3,
147,10,4,
148,10,5,1.0
149,10,6,
150,10,7,1.0
151,10,8,
152,10,9,
153,10,10,1.0
154,10,11,
155,10,12,1.0
156,10,13,1.0
157,10,14,
158,10,15,1.0
159,10,16,
160,11,1,1.0
161,11,2,
162,11,3,1.0
163,11,4,
164,11,5,1.0
165,11,6,0.0
166,11,7,0.0
167,11,8,0.0
168,11,9,0.0
169,11,10,0.0
170,11,11,0.0
171,11,12,0.0
172,11,13,0.0
173,11,14,0.0
174,11,15,0.0
175,11,16,0.0
176,12,1,
177,12,2,
178,12,3,1.0
179,12,4,
180,12,5,1.0
181,12,6,
182,12,7,
183,12,8,
184,12,9,
185,12,10,1.0
186,12,11,
187,12,12,
188,12,13,1.0
189,12,14,
190,12,15,1.0
191,12,16,
192,13,1,
193,13,2,
194,13,3,1.0
195,13,4,0.0
196,13,5,1.0
197,13,6,0.0
198,13,7,0.0
199,13,8,0.0
200,13,9,0.0
201,13,10,0.0
202,13,11,0.0
203,13,12,0.0
204,13,13,0.0
205,13,14,0.0
206,13,15,0.0
207,13,16,0.0
208,14,1,1.0
209,14,2,
210,14,3,1.0
211,14,4,
212,14,5,1.0
213,14,6,
214,14,7,
215,14,8,
216,14,9,
217,14,10,1.0
218,14,11,1.0
219,14,12,
220,14,13,1.0
221,14,14,
222,14,15,
223,14,16,
224,15,1,1.0
225,15,2,
226,15,3,1.0
227,15,4,0.0
228,15,5,0.0
229,15,6,0.0
230,15,7,0.0
231,15,8,0.0
232,15,9,0.0
233,15,10,0.0
234,15,11,0.0
235,15,12,0.0
236,15,13,0.0
237,15,14,0.0
238,15,15,0.0
239,15,16,0.0
240,16,1,1.0
241,16,2,
242,16,3,
243,16,4,
244,16,5,
245,16,6,
246,16,7,
247,16,8,
248,16,9,
249,16,10,
250,16,11,1.0
251,16,12,
252,16,13,
253,16,14,
254,16,15,1.0
255,16,16,
256,17,1,1.0
257,17,2,1.0
258,17,3,1.0
259,17,4,0.0
260,17,5,0.0
261,17,6,0.0
262,17,7,0.0
263,17,8,0.0
264,17,9,0.0
265,17,10,0.0
266,17,11,0.0
267,17,12,0.0
268,17,13,0.0
269,17,14,0.0
270,17,15,0.0
271,17,16,0.0
272,18,1,1.0
273,18,2,
274,18,3,1.0
275,18,4,
276,18,5,
277,18,6,
278,18,7,
279,18,8,
280,18,9,1.0
281,18,10,
282,18,11,1.0
283,18,12,
284,18,13,
285,18,14,
286,18,15,
287,18,16,
288,19,1,1.0
289,19,2,
290,19,3,1.0
291,19,4,0.0
292,19,5,0.0
293,19,6,0.0
294,19,7,0.0
295,19,8,0.0
296,19,9,0.0
297,19,10,0.0
298,19,11,0.0
299,19,12,0.0
300,19,13,0.0
301,19,14,0.0
302,19,15,0.0
303,19,16,0.0
304,20,1,
305,20,2,
306,20,3,
307,20,4,
308,20,5,
309,20,6,
310,20,7,
311,20,8,
312,20,9,1.0
313,20,10,
314,20,11,
315,20,12,
316,20,13,
317,20,14,
318,20,15,
319,20,16,
320,21,1,1.0
321,21,2,
322,21,3,
323,21,4,0.0
324,21,5,0.0
325,21,6,0.0
326,21,7,0.0
327,21,8,0.0
328,21,9,0.0
329,21,10,0.0
330,21,11,0.0
331,21,12,0.0
332,21,13,0.0
333,21,14,0.0
334,21,15,0.0
335,21,16,0.0
336,22,1,
337,22,2,
338,22,3,
339,22,4,1.0
340,22,5,
341,22,6,
342,22,7,1.0
343,22,8,
344,22,9,1.0
345,22,10,
346,22,11,
347,22,12,
348,22,13,
349,22,14,1.0
350,22,15,
351,22,16,
352,23,1,1.0
353,23,2,
354,23,3,1.0
355,23,4,0.0
356,23,5,0.0
357,23,6,0.0
358,23,7,0.0
359,23,8,0.0
360,23,9,0.0
361,23,10,0.0
362,23,11,0.0
363,23,12,0.0
364,23,13,0.0
365,23,14,0.0
366,23,15,0.0
367,23,16,0.0
368,24,1,
369,24,2,
370,24,3,1.0
371,24,4,
372,24,5,1.0
373,24,6,
374,24,7,1.0
375,24,8,
376,24,9,
377,24,10,
378,24,11,
379,24,12,
380,24,13,
381,24,14,1.0
382,24,15,1.0
383,24,16,
